Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413159009;"Услуги по сопровождению ""1С:Предприятие""";62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157355;"Сопровождение информационной системы ""Техэксперт""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158984;Право заключения договора на выполнение работ по модификации программ для ЭВМ «Иерархическая система прогнозирования электропотребления для краткосрочного планирования режимов ЕЭС России» (ИСП) и «Автоматизированная система сбора, обработки, хранения и контроля метеоданных» (Метео) (3533110);62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;09.01.2024
№32413158111;Информационное абонентское обслуживание;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158104;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158972;"Оказание услуг  по поставке, адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в МУП ""ТВК"" г.Заволжья экземплярами Систем КонсультантПлюс для нужд  Муниципального унитарного предприятия ""Тепловодоканал""  г. Заволжья";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413156431;Поставка, адаптация и сопровождение экземпляров систем Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158958;Право заключения договора на выполнение работ по модификации программы для ЭВМ «Автоматизированная система контроля каналов противоаварийной автоматики» (СККПА) (3532935);62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;09.01.2024
№32413158913;"Оказание услуг по информационно-техническому обслуживанию программного обеспечения ""1С: Медицина. Зарплата и кадры бюджетного учреждения"" для нужд государственного бюджетного учреждения здравоохранения Владимирской области ""Муромская стоматологическая поликлиника""";62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158849;Услуги по обновлению и предоставлению права доступа к базам данных и информационным ресурсам;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413156734;Услуги по модификации и сопровождению модифицированных ИСС;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158788;Поставка, адаптация и сопровождение экземпляров систем консультантплюс;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413158336;Информационно-технологическое сопровождение бухгалтерских программ;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413158738;Оказание услуг по сопровождению программ баз данных 1С: «Бухгалтерия государственного учреждения» и «Зарплата и кадры государственного учреждения»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413158630;Оказание услуг по сопровождению программного продукта «1С: Зарплата и управление персоналом», «1С: Бухгалтерия Предприятия»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413158629;оказание услуг по адаптации и сопровождению СПС Консультант Бухгалтер смарт-комплект Базовый ОВП Серия К2;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158592;Оказание услуг по адаптации и сопровождению адаптированного экземпляра СПС КонсультантПлюс ;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413156320;"Выполнение работ по сопровождению программных продуктов ПО ""1С:Предприятие""";62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158557;"Услуги по сопровождению программного продукта системы ""1С: Предприятие""";62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413156932;Оказание информационных услуг с использованием Специальных Выпусков Системы КонсультантПлюс (услуги по адаптации и сопровождению экземпляров Специальных Выпусков Системы КонсультантПлюс);62.09: Услуги в области информационных технологий прочие и компьютерные услуги;09.01.2024
№32413156246;Поставка, адаптация и сопровождение систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158472;Модификация и сопровождение модифицированных экземпляров ИСС: «Стройэксперт. Профессиональный вариант» и «Техэксперт. Дорожное строительство»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413156833;Оказание услуг по сервисному обслуживанию и ремонту компьютерной техники;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413158433;Услуги по адаптации и сопровождению экземпляров Системы КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413156761;Оказание информационных услуг с использованием Экземпляров Спец. выпусков Систем Консультант Плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413156747;Оказание услуг по информационному обслуживанию программных продуктов 1С: Бухгалтерия государственного учреждения 8, 1С: Зарплата и кадры бюджетного учреждения 8;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413156727;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158338;Информационное обслуживание и обновление справочно-правовой системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158331;Оказание услуг по предоставлению доступа к справочно-правовой системе;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158323;Оказание услуг по информационно-технологическому сопровождению программных продуктов 1С Предприятие;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413156262;информационное обслуживание;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413158140;Сопровождение программного продукта 1С:Предприятие;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413158118;закупка у единственного поставщика  на заключение договора поставки, адаптации и сопровождения экземпляров Систем КонсультантПлюс;62.02: Услуги консультативные, связанные с компьютерной техникой;09.01.2024
№32413156151;Услуги по сопровождению сайта театра и билетной части;62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;09.01.2024
№32413157919;Установка, настройка и обновление бухгалтерских программ;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";09.01.2024
